group,project
Group 01,https://sopra-fs21-group-02-client.herokuapp.com/
Group 02,https://sopra-fs21-group-03-client.herokuapp.com/
Group 03,https://sopra-fs21-group-4-client.herokuapp.com/
Group 04,https://sopra-fs21-group-05-client.herokuapp.com/
Group 05,https://remys-best-client.herokuapp.com/
Group 06,https://sopra-fs21-group-07-client.herokuapp.com/
Group 07,https://sopra-fs21-group-08-client.herokuapp.com/
Group 08,https://sopra-fs21-group-09-client.herokuapp.com/
Group 09,https://sopra-fs21-group-10-client.herokuapp.com/
Group 10,https://sopra-fs21-group-11-client.herokuapp.com/
Group 11,https://sopra-fs21-group-12-client.herokuapp.com/
Group 12,https://sopra-fs21-group-13-client.herokuapp.com/
Group 13,https://sopra-fs21-group-15-client.herokuapp.com/
Group 15,https://sopra-fs21-group-16-client.herokuapp.com/
Group 16,https://sopra-fs21-group-17-client.herokuapp.com/
Group 17,http://myoutf.it/
Group 20,https://sopra-fs21-group-21-client.herokuapp.com/
Group 21,https://sopra-fs21-group-22-client.herokuapp.com/
Group 22,https://sopra-fs21-group-24-client.herokuapp.com/
Group 24,https://sopra-fs21-group-25-client.herokuapp.com/
Group 25,https://sopra-fs21-group-26-client.herokuapp.com/
Group 26,https://sopra-fs21-group-01-client.herokuapp.com/
